status,statement,predicted_class,correct,probability
Bi-polar,"🌊In the depths of my mind, a storm rages. Mania & depression dance in tandem, leaving me breathless & lost. #BiPolar #MentalHealth #EmotionalT",Depression,0,0.10811834
Bi-polar,"🌊Inside my mind, a stormy sea 🌊 Chaos reigns, emotions raw, as I battle #bipolar demons. My world, a kaleidoscope of highs",Suicidal,0,0.0061028902
Bi-polar,"""Lost in a sea of emotions, never sure which shore to anchor on. Bi-polar's chaotic tides ebb and flow, draining my sanity."" #mentalhealth #biopolar",Normal,0,0.023607755
Bi-polar,"🌊 In the depths of my mind, a tempest rages. Manic highs and crushing lows, never a moment's peace. #BiPolar #MentalHealth",Suicidal,0,0.32117262
Bi-polar,"🌊In the depths of my mind, a storm rages. Highs and lows collide, leaving me lost in a world of disorder. Bi-polar, a constant battle. #mentalhe",Normal,0,0.0038645545
Bi-polar,"""Feeling like a tornado in my own mind, constantly shifting between euphoric highs and crushing lows. #BiPolarLife""",Normal,0,0.10689352
Bi-polar,"""My mind races like a rollercoaster, one moment elated, the next plunged into darkness. Bi-polar's cruel twist of fate."" #MentalHealthAwareness",Suicidal,0,0.027407391
Bi-polar,"🌊My mind is a stormy sea, one moment calm, the next a raging tempest. I'm lost in the depths of my own disorder. #BiPolar #MentalHealth #",Suicidal,0,0.17132881
Bi-polar,"""My mind races like a runaway train, one minute euphoric, the next plunged into darkness. #BiPolarStruggles""",Normal,0,0.078773364
Bi-polar,"🌊In the depths of my mind, a storm rages on🌊. One moment I'm soaring high, the next I'm drowning in the dark🌊. Bi-",Normal,0,0.0034666904
Bi-polar,"My mind is a stormy sea, constantly shifting between calm and chaos. #bipolar",Normal,0,0.016584413
Bi-polar,"""My mind races with thoughts of pure bliss, then plunges into darkness with no warning. Bi-polar's unpredictable grip holds me hostage.""",Normal,0,0.0067467936
Bi-polar,"""Mood swings like a rollercoaster, emotions on edge, never knowing what's next. Bi-polar's heavy weight drags me down, making life a constant struggle.""",Normal,0,0.0037221506
Bi-polar,"""My mind is a tempest, raging between euphoria and despair. #BiPolar #MentalHealth""",Normal,0,0.13445358
Bi-polar,"""Mood swings like a rollercoaster, racing thoughts in my head, feeling on top of the world one minute and crushed the next. Bi-polar life.""",Normal,0,0.0009627006
Bi-polar,"My mind races like a runaway train, one moment euphoric highs to crushing lows. Bi-polar's chaotic whirlwind leaves me breathless. 🚂💔 #",Normal,0,0.030890536
Bi-polar,"🌊 In a whirlwind of emotions, I'm lost at sea. One moment euphoric, the next plunged into darkness. Bi-polar's wild ride never ends. #M",Normal,0,0.0039796955
Bi-polar,"""Lost in a sea of emotions, my mind races with thoughts of euphoria and despair. Bi-polar's unpredictable whims leave me reeling.""",Normal,0,0.027909232
Bi-polar,"🌊My mind races like a stormy sea, waves of emotions crashing against the shores of my sanity. Bi-polar, a constant battle for balance. #mentalhealthawareness",Suicidal,0,0.0050551114
Bi-polar,"The world outside is a blur, my thoughts race and I'm stuck in a never-ending cycle of highs and lows. Bi-polar, it's a rollercoaster of emotions that I can'",Anxiety,0,0.07654417
Bi-polar,"""My mind is a stormy sea, constantly shifting between calm and chaos. #BiPolar #MentalHealth""",Normal,0,0.18885711
Bi-polar,"""Lost in a sea of moods, clinging to hope. #BiPolar #MentalHealth""",Normal,0,0.043913234
Bi-polar,"My mood swings are a rollercoaster of emotions, from elation to despair. Bi-polar is a constant battle 💔 #mentalhealthawareness #bipolar",Depression,0,0.10882651
Bi-polar,"🌊In the depths of my mind, a storm rages. One moment, I'm on top of the world. The next, I'm drowning in despair. Bi-polar, a",Normal,0,0.016098918
Bi-polar,"""Lost in a sea of emotions, struggling to keep my head above water. Bi-polar's heavy weight drags me down, but I won't let it drown me completely."" #mentalhealth",Suicidal,0,0.19225666
Bi-polar,"""My mind races like a runaway train, one moment I'm on top of the world, the next I'm lost in a dark abyss. #BiPolarStruggles""",Normal,0,0.051691726
Bi-polar,"""Manic highs and depressive lows, a never-ending rollercoaster of emotions. #BiPolar #MentalHealth""",Normal,0,0.10011012
Bi-polar,"""Lost in a sea of emotions, struggling to keep my head above water. #BiPolar""",Normal,0,0.04214028
Bi-polar,"The world outside is a blur, my mind a maelstrom of emotions. Joy and sadness entwined, like a kaleidoscope in my brain.",Normal,0,0.008810571
Bi-polar,"🌊Inconsistent waves of emotion crash on my shore, erasing the lines between highs and lows. My mind, a tempestuous sea, refuses to calm. #BiPolar #Mental",Suicidal,0,0.0787239
Bi-polar,"""Rollercoaster of emotions, my mood swings like a pendulum. Highs are euphoric, lows are suffocating. 💔 #BiPolar #M",Normal,0,0.0073854504
Bi-polar,"""My mood swings are a never-ending rollercoaster, one moment I'm on top of the world, the next I'm drowning in a sea of despair."" #BiPolar #M",Normal,0,0.0060479264
Bi-polar,"""Manic highs and crushing lows, my mind a maze of chaos and confusion. #BiPolar""",Normal,0,0.17734984
Bi-polar,"""My mind races like a runaway train, while my emotions chase it in a chaotic game of tag. #BiPolar #MentalHealth""",Normal,0,0.17693795
Bi-polar,"🌊 In the depths of my mind, a storm rages on. Emotions collide, like waves crashing on the shore. Joy and sadness, entwined in a battle for control. #Bi",Normal,0,0.0032727343
Bi-polar,"🌊 Intense highs & lows like a stormy sea, never a moment of stillness. Bi-polar's chaotic grasp grips me tight, leaving me lost in a sea of emot",Anxiety,0,0.019913904
Bi-polar,"🌊In turbulent waters, I'm lost in a sea of emotions. Sanity's a distant shore, and I'm clinging to debris. #BiPolarDisorder",Normal,0,0.15425229
Bi-polar,"My mind is a chaotic storm, one moment euphoric and the next plunged into darkness. Bi-polar, the unpredictable friend that never leaves. 🌪️💔",Normal,0,0.009962726
Bi-polar,"My mind is a battlefield, a war between light and dark, with no clear victory. Emotions swirl like a tempest, leaving me lost and adrift. #BiPolar #MentalHealth",Depression,0,0.18347014
Bi-polar,"""My mind is a tempest, wild and untamed. One moment I soar, the next I drown in the depths of my own despair."" #BiPolar #MentalHealth",Bi-polar,1,0.39914456
Bi-polar,"""Lost in a sea of moods, struggling to stay afloat. #BiPolar""",Normal,0,0.010342176
Bi-polar,"🌪️Rollercoaster of emotions, mood swings like a hurricane. Pleading for calm, but the storm rages on. #BiPolar #MentalHealth",Suicidal,0,0.0074441475
Bi-polar,"🌪️ Dark clouds loom, moods swing wildly. Pleasurable highs & crushing lows, a never-ending rollercoaster. Bi-polar, my constant companion. #ment",Normal,0,0.0033278198
Bi-polar,"🌪️Bipolar whirlwind: Moments of elation 💥🌈, followed by crushing darkness 🌫️😔. #mentalhe",Suicidal,0,0.0036547515
Bi-polar,"""Bipolar chaos rages within. Moods shift like the tides, drowning me in despair one moment, soaring on euphoria the next. My mind a battleground, never still.""",Normal,0,0.03549688
Bi-polar,"""Living with bi-polar is like riding a rollercoaster every day. One moment I'm on top of the world, the next I'm drowning in darkness."" #mentalhealthaw",Normal,0,0.024304796
Bi-polar,"🌊💔 In the depths of my mind, a tempest rages on. Highs and lows collide, leaving me lost and fragmented. Bi-polar's cruel grip holds",Normal,0,0.0021717926
Bi-polar,"""My mind is a stormy sea, with emotions crashing on the shores of sanity. #BiPolar""",Normal,0,0.014094129
Bi-polar,"""My mind is a chaotic storm, one moment I'm soaring on rainbows, the next I'm drowning in a sea of despair."" #BiPolar #MentalHealth #Emot",Normal,0,0.0588742
Bi-polar,"My mind is a maze of chaos, moods shifting like the tides. Joy and sadness entwined in a delicate dance of disorder. #BiPolar #MentalHealth",Suicidal,0,0.35155848
Bi-polar,"""Lost in a sea of moods, I'm drowning in a storm of emotions. Bi-polar, a constant battle of light and dark."" #mentalhealth #bi polar",Normal,0,0.01723008
Bi-polar,"🌊Infinite waves crash on my shores, moods swirling like the tides. One moment elation, the next, crushing despair. #BiPolar #MentalHealth",Suicidal,0,0.069735356
Bi-polar,"🌊Drowning in my own mind, lost in a sea of despair. Manic highs and depressive lows, a never-ending battle within. #BiPolarStruggles #Mental",Suicidal,0,0.029307477
Bi-polar,"🌊 Whirlpools of emotions, trapped in a mind that's lost at sea. Bi-polar's stormy shores, where sanity's a fleeting dream.",Normal,0,0.017658414
